tipo,slug_articolo,categoria,titolo_articolo,nome_file,percorso_finale,dimensioni,brief
"copertina","varianti-in-corso-opera","Imprese","Lavori extra ordinati a voce dal direttore lavori: si possono farsi pagare?","varianti-in-corso-opera-cover.jpg","public/images/guide/varianti-in-corso-opera-cover.jpg","1600x900 (16:9)","Direttore dei lavori e capocantiere davanti a una traccia aperta nel muro"
"interna","varianti-in-corso-opera","Imprese","Lavori extra ordinati a voce dal direttore lavori: si possono farsi pagare?","varianti-in-corso-opera-1.jpg","public/images/guide/varianti-in-corso-opera-1.jpg","1600x900 (16:9)","Direttore dei lavori e capocantiere davanti a una traccia aperta nel muro"
"interna","varianti-in-corso-opera","Imprese","Lavori extra ordinati a voce dal direttore lavori: si possono farsi pagare?","varianti-in-corso-opera-2.jpg","public/images/guide/varianti-in-corso-opera-2.jpg","1600x900 (16:9)","Giornale dei lavori aperto, con l'annotazione della lavorazione e la firma del DL"
"copertina","ritenuta-a-garanzia","Imprese","Ritenuta a garanzia non svincolata: come farsi restituire il 5% trattenuto","ritenuta-a-garanzia-cover.jpg","public/images/guide/ritenuta-a-garanzia-cover.jpg","1600x900 (16:9)","Registro dei SAL con le trattenute evidenziate cantiere per cantiere"
"interna","ritenuta-a-garanzia","Imprese","Ritenuta a garanzia non svincolata: come farsi restituire il 5% trattenuto","ritenuta-a-garanzia-1.jpg","public/images/guide/ritenuta-a-garanzia-1.jpg","1600x900 (16:9)","Registro dei SAL con le trattenute evidenziate cantiere per cantiere"
"interna","ritenuta-a-garanzia","Imprese","Ritenuta a garanzia non svincolata: come farsi restituire il 5% trattenuto","ritenuta-a-garanzia-2.jpg","public/images/guide/ritenuta-a-garanzia-2.jpg","1600x900 (16:9)","Calendario con le date di fine garanzia dei cantieri chiusi"
"copertina","reverse-charge-edilizia","Tributario","Reverse charge applicato male in edilizia: quali sanzioni rischi e come si esce","reverse-charge-edilizia-cover.jpg","public/images/guide/reverse-charge-edilizia-cover.jpg","1600x900 (16:9)","Fatture di subappalto impilate sulla scrivania di un ufficio tecnico"
"interna","reverse-charge-edilizia","Tributario","Reverse charge applicato male in edilizia: quali sanzioni rischi e come si esce","reverse-charge-edilizia-1.jpg","public/images/guide/reverse-charge-edilizia-1.jpg","1600x900 (16:9)","Fatture di subappalto impilate sulla scrivania di un ufficio tecnico"
"interna","reverse-charge-edilizia","Tributario","Reverse charge applicato male in edilizia: quali sanzioni rischi e come si esce","reverse-charge-edilizia-2.jpg","public/images/guide/reverse-charge-edilizia-2.jpg","1600x900 (16:9)","Cantiere misto con prestazioni di servizi e forniture con posa in opera"
"copertina","opposizione-decreto-ingiuntivo-impresa-edile","Privati","Decreto ingiuntivo dall'impresa edile: hai 40 giorni, ecco cosa fare","opposizione-decreto-ingiuntivo-impresa-edile-cover.jpg","public/images/guide/opposizione-decreto-ingiuntivo-impresa-edile-cover.jpg","1600x900 (16:9)","Decreto ingiuntivo notificato, con la data di notifica cerchiata"
"interna","opposizione-decreto-ingiuntivo-impresa-edile","Privati","Decreto ingiuntivo dall'impresa edile: hai 40 giorni, ecco cosa fare","opposizione-decreto-ingiuntivo-impresa-edile-1.jpg","public/images/guide/opposizione-decreto-ingiuntivo-impresa-edile-1.jpg","1600x900 (16:9)","Decreto ingiuntivo notificato, con la data di notifica cerchiata"
"interna","opposizione-decreto-ingiuntivo-impresa-edile","Privati","Decreto ingiuntivo dall'impresa edile: hai 40 giorni, ecco cosa fare","opposizione-decreto-ingiuntivo-impresa-edile-2.jpg","public/images/guide/opposizione-decreto-ingiuntivo-impresa-edile-2.jpg","1600x900 (16:9)","Pavimento che suona a vuoto, verificato con battitura durante un sopralluogo"
"copertina","preventivo-sforato","Privati","Il preventivo è raddoppiato: devo pagare i lavori extra che non ho autorizzato?","preventivo-sforato-cover.jpg","public/images/guide/preventivo-sforato-cover.jpg","1600x900 (16:9)","Preventivo e fattura finale affiancati, con le voci divergenti evidenziate"
"interna","preventivo-sforato","Privati","Il preventivo è raddoppiato: devo pagare i lavori extra che non ho autorizzato?","preventivo-sforato-1.jpg","public/images/guide/preventivo-sforato-1.jpg","1600x900 (16:9)","Preventivo e fattura finale affiancati, con le voci divergenti evidenziate"
"interna","preventivo-sforato","Privati","Il preventivo è raddoppiato: devo pagare i lavori extra che non ho autorizzato?","preventivo-sforato-2.jpg","public/images/guide/preventivo-sforato-2.jpg","1600x900 (16:9)","Ristrutturazione in corso in un appartamento, con lavorazioni aggiuntive in vista"
"copertina","ritardo-consegna-lavori","Privati","Ritardo nella consegna: come si calcola la penale e cosa puoi chiedere in più","ritardo-consegna-lavori-cover.jpg","public/images/guide/ritardo-consegna-lavori-cover.jpg","1600x900 (16:9)","Calendario di cantiere con la data di consegna pattuita superata"
"interna","ritardo-consegna-lavori","Privati","Ritardo nella consegna: come si calcola la penale e cosa puoi chiedere in più","ritardo-consegna-lavori-1.jpg","public/images/guide/ritardo-consegna-lavori-1.jpg","1600x900 (16:9)","Calendario di cantiere con la data di consegna pattuita superata"
"interna","ritardo-consegna-lavori","Privati","Ritardo nella consegna: come si calcola la penale e cosa puoi chiedere in più","ritardo-consegna-lavori-2.jpg","public/images/guide/ritardo-consegna-lavori-2.jpg","1600x900 (16:9)","Cronoprogramma dei lavori con le sospensioni annotate"
"copertina","infissi-montati-male","Verticali","Infissi montati male: spifferi, condensa e la detrazione che rischi di perdere","infissi-montati-male-cover.jpg","public/images/guide/infissi-montati-male-cover.jpg","1600x900 (16:9)","Condensa e muffa sul contorno murario di una finestra nuova"
"interna","infissi-montati-male","Verticali","Infissi montati male: spifferi, condensa e la detrazione che rischi di perdere","infissi-montati-male-1.jpg","public/images/guide/infissi-montati-male-1.jpg","1600x900 (16:9)","Condensa e muffa sul contorno murario di una finestra nuova"
"interna","infissi-montati-male","Verticali","Infissi montati male: spifferi, condensa e la detrazione che rischi di perdere","infissi-montati-male-2.jpg","public/images/guide/infissi-montati-male-2.jpg","1600x900 (16:9)","Termografia di un nodo di posa che evidenzia le dispersioni"
"copertina","fotovoltaico-non-produce","Verticali","Il fotovoltaico non produce quanto promesso: cosa puoi chiedere davvero","fotovoltaico-non-produce-cover.jpg","public/images/guide/fotovoltaico-non-produce-cover.jpg","1600x900 (16:9)","Impianto fotovoltaico su tetto a falda, con ombreggiamento parziale del camino"
"interna","fotovoltaico-non-produce","Verticali","Il fotovoltaico non produce quanto promesso: cosa puoi chiedere davvero","fotovoltaico-non-produce-1.jpg","public/images/guide/fotovoltaico-non-produce-1.jpg","1600x900 (16:9)","Impianto fotovoltaico su tetto a falda, con ombreggiamento parziale del camino"
"interna","fotovoltaico-non-produce","Verticali","Il fotovoltaico non produce quanto promesso: cosa puoi chiedere davvero","fotovoltaico-non-produce-2.jpg","public/images/guide/fotovoltaico-non-produce-2.jpg","1600x900 (16:9)","Macchia di infiltrazione sul soffitto della mansarda in corrispondenza dei fissaggi"
"copertina","recesso-contratto-fotovoltaico","Verticali","Contratto fotovoltaico firmato a casa: puoi annullarlo fino a 12 mesi dopo","recesso-contratto-fotovoltaico-cover.jpg","public/images/guide/recesso-contratto-fotovoltaico-cover.jpg","1600x900 (16:9)","Plico contrattuale del fotovoltaico firmato in casa, senza modulo di recesso"
"interna","recesso-contratto-fotovoltaico","Verticali","Contratto fotovoltaico firmato a casa: puoi annullarlo fino a 12 mesi dopo","recesso-contratto-fotovoltaico-1.jpg","public/images/guide/recesso-contratto-fotovoltaico-1.jpg","1600x900 (16:9)","Plico contrattuale del fotovoltaico firmato in casa, senza modulo di recesso"
"interna","recesso-contratto-fotovoltaico","Verticali","Contratto fotovoltaico firmato a casa: puoi annullarlo fino a 12 mesi dopo","recesso-contratto-fotovoltaico-2.jpg","public/images/guide/recesso-contratto-fotovoltaico-2.jpg","1600x900 (16:9)","Pannelli già installati sul tetto di un'abitazione"
"copertina","cappotto-termico-difettoso","Verticali","Il cappotto termico si stacca: chi paga tra impresa, progettista e direttore dei lavori","cappotto-termico-difettoso-cover.jpg","public/images/guide/cappotto-termico-difettoso-cover.jpg","1600x900 (16:9)","Distacco della rasatura di un cappotto termico su un prospetto condominiale"
"interna","cappotto-termico-difettoso","Verticali","Il cappotto termico si stacca: chi paga tra impresa, progettista e direttore dei lavori","cappotto-termico-difettoso-1.jpg","public/images/guide/cappotto-termico-difettoso-1.jpg","1600x900 (16:9)","Distacco della rasatura di un cappotto termico su un prospetto condominiale"
"interna","cappotto-termico-difettoso","Verticali","Il cappotto termico si stacca: chi paga tra impresa, progettista e direttore dei lavori","cappotto-termico-difettoso-2.jpg","public/images/guide/cappotto-termico-difettoso-2.jpg","1600x900 (16:9)","Frammenti di intonaco caduti sul marciapiede sotto la facciata"
"copertina","cucina-su-misura-difettosa","Verticali","Cucina su misura difettosa: il tuo contratto è vendita o appalto? Cambia tutto","cucina-su-misura-difettosa-cover.jpg","public/images/guide/cucina-su-misura-difettosa-cover.jpg","1600x900 (16:9)","Cucina appena consegnata con basi che non entrano nel vano murario"
"interna","cucina-su-misura-difettosa","Verticali","Cucina su misura difettosa: il tuo contratto è vendita o appalto? Cambia tutto","cucina-su-misura-difettosa-1.jpg","public/images/guide/cucina-su-misura-difettosa-1.jpg","1600x900 (16:9)","Cucina appena consegnata con basi che non entrano nel vano murario"
"interna","cucina-su-misura-difettosa","Verticali","Cucina su misura difettosa: il tuo contratto è vendita o appalto? Cambia tutto","cucina-su-misura-difettosa-2.jpg","public/images/guide/cucina-su-misura-difettosa-2.jpg","1600x900 (16:9)","Documento di trasporto firmato con la riserva scritta a mano"
"copertina","terrazzo-infiltrazioni","Verticali","Il terrazzo rifatto perde ancora: chi paga tra impresa, condominio e proprietario","terrazzo-infiltrazioni-cover.jpg","public/images/guide/terrazzo-infiltrazioni-cover.jpg","1600x900 (16:9)","Macchia di umidità sul soffitto dell'appartamento sotto una terrazza a livello"
"interna","terrazzo-infiltrazioni","Verticali","Il terrazzo rifatto perde ancora: chi paga tra impresa, condominio e proprietario","terrazzo-infiltrazioni-1.jpg","public/images/guide/terrazzo-infiltrazioni-1.jpg","1600x900 (16:9)","Macchia di umidità sul soffitto dell'appartamento sotto una terrazza a livello"
"interna","terrazzo-infiltrazioni","Verticali","Il terrazzo rifatto perde ancora: chi paga tra impresa, condominio e proprietario","terrazzo-infiltrazioni-2.jpg","public/images/guide/terrazzo-infiltrazioni-2.jpg","1600x900 (16:9)","Guaina impermeabilizzante con raccordo non risvoltato in corrispondenza della soglia"
"copertina","pompa-di-calore-non-scalda","Verticali","La pompa di calore non scalda: quando è un errore di dimensionamento e chi ne risponde","pompa-di-calore-non-scalda-cover.jpg","public/images/guide/pompa-di-calore-non-scalda-cover.jpg","1600x900 (16:9)","Unità esterna di pompa di calore installata accanto a una villetta non isolata"
"interna","pompa-di-calore-non-scalda","Verticali","La pompa di calore non scalda: quando è un errore di dimensionamento e chi ne risponde","pompa-di-calore-non-scalda-1.jpg","public/images/guide/pompa-di-calore-non-scalda-1.jpg","1600x900 (16:9)","Unità esterna di pompa di calore installata accanto a una villetta non isolata"
"interna","pompa-di-calore-non-scalda","Verticali","La pompa di calore non scalda: quando è un errore di dimensionamento e chi ne risponde","pompa-di-calore-non-scalda-2.jpg","public/images/guide/pompa-di-calore-non-scalda-2.jpg","1600x900 (16:9)","Materiale commerciale con la promessa di risparmio in bolletta"
"copertina","piscina-difetti-costruttore","Verticali","La piscina perde acqua: hai dieci anni di garanzia, non due","piscina-difetti-costruttore-cover.jpg","public/images/guide/piscina-difetti-costruttore-cover.jpg","1600x900 (16:9)","Piscina interrata in cemento armato con fessurazione verticale sulla parete"
"interna","piscina-difetti-costruttore","Verticali","La piscina perde acqua: hai dieci anni di garanzia, non due","piscina-difetti-costruttore-1.jpg","public/images/guide/piscina-difetti-costruttore-1.jpg","1600x900 (16:9)","Piscina interrata in cemento armato con fessurazione verticale sulla parete"
"interna","piscina-difetti-costruttore","Verticali","La piscina perde acqua: hai dieci anni di garanzia, non due","piscina-difetti-costruttore-2.jpg","public/images/guide/piscina-difetti-costruttore-2.jpg","1600x900 (16:9)","Test di tenuta con misurazione dell'abbassamento del livello dell'acqua"
"copertina","differenza-1667-1669","Privati","Differenza tra art. 1667 e art. 1669 del codice civile: la tabella che chiarisce tutto","differenza-1667-1669-cover.jpg","public/images/guide/differenza-1667-1669-cover.jpg","1600x900 (16:9)","Parete di un soggiorno con una crepa verticale che attraversa l'intonaco dal soffitto al battiscopa, luce radente"
"interna","differenza-1667-1669","Privati","Differenza tra art. 1667 e art. 1669 del codice civile: la tabella che chiarisce tutto","differenza-1667-1669-1.jpg","public/images/guide/differenza-1667-1669-1.jpg","1600x900 (16:9)","Parete di un soggiorno con una crepa verticale che attraversa l'intonaco dal soffitto al battiscopa, luce radente"
"interna","differenza-1667-1669","Privati","Differenza tra art. 1667 e art. 1669 del codice civile: la tabella che chiarisce tutto","differenza-1667-1669-2.jpg","public/images/guide/differenza-1667-1669-2.jpg","1600x900 (16:9)","Tecnico con termocamera e taccuino rileva una macchia di umidità sul soffitto di una camera da letto"
"copertina","quanto-costa-causa-costruttore","Privati","Quanto costa davvero fare causa a un costruttore","quanto-costa-causa-costruttore-cover.jpg","public/images/guide/quanto-costa-causa-costruttore-cover.jpg","1600x900 (16:9)","Scrivania con un preventivo legale dettagliato per fasi, una calcolatrice e il fascicolo di una perizia tecnica"
"interna","quanto-costa-causa-costruttore","Privati","Quanto costa davvero fare causa a un costruttore","quanto-costa-causa-costruttore-1.jpg","public/images/guide/quanto-costa-causa-costruttore-1.jpg","1600x900 (16:9)","Scrivania con un preventivo legale dettagliato per fasi, una calcolatrice e il fascicolo di una perizia tecnica"
"interna","quanto-costa-causa-costruttore","Privati","Quanto costa davvero fare causa a un costruttore","quanto-costa-causa-costruttore-2.jpg","public/images/guide/quanto-costa-causa-costruttore-2.jpg","1600x900 (16:9)","Computo metrico stampato con le voci di ripristino di una copertura, evidenziate con marcatore"
"copertina","accertamento-tecnico-preventivo","Privati","Accertamento tecnico preventivo: perché conviene farlo per primi","accertamento-tecnico-preventivo-cover.jpg","public/images/guide/accertamento-tecnico-preventivo-cover.jpg","1600x900 (16:9)","Sopralluogo peritale in un appartamento: consulente con metro laser e macchina fotografica, due tecnici di parte prendono appunti"
"interna","accertamento-tecnico-preventivo","Privati","Accertamento tecnico preventivo: perché conviene farlo per primi","accertamento-tecnico-preventivo-1.jpg","public/images/guide/accertamento-tecnico-preventivo-1.jpg","1600x900 (16:9)","Sopralluogo peritale in un appartamento: consulente con metro laser e macchina fotografica, due tecnici di parte prendono appunti"
"interna","accertamento-tecnico-preventivo","Privati","Accertamento tecnico preventivo: perché conviene farlo per primi","accertamento-tecnico-preventivo-2.jpg","public/images/guide/accertamento-tecnico-preventivo-2.jpg","1600x900 (16:9)","Saggio esplorativo su un solaio: porzione di massetto rimossa che mostra la stratigrafia e la guaina impermeabilizzante"
"copertina","superbonus-recupero-agenzia-privato","Privati","Superbonus: l'Agenzia chiede i soldi a me, che sono solo il proprietario","superbonus-recupero-agenzia-privato-cover.jpg","public/images/guide/superbonus-recupero-agenzia-privato-cover.jpg","1600x900 (16:9)","Busta dell'Agenzia delle Entrate aperta sul tavolo di casa accanto al fascicolo dei lavori e alle asseverazioni"
"interna","superbonus-recupero-agenzia-privato","Privati","Superbonus: l'Agenzia chiede i soldi a me, che sono solo il proprietario","superbonus-recupero-agenzia-privato-1.jpg","public/images/guide/superbonus-recupero-agenzia-privato-1.jpg","1600x900 (16:9)","Busta dell'Agenzia delle Entrate aperta sul tavolo di casa accanto al fascicolo dei lavori e alle asseverazioni"
"interna","superbonus-recupero-agenzia-privato","Privati","Superbonus: l'Agenzia chiede i soldi a me, che sono solo il proprietario","superbonus-recupero-agenzia-privato-2.jpg","public/images/guide/superbonus-recupero-agenzia-privato-2.jpg","1600x900 (16:9)","Tabella comparativa stampata con le date delle asseverazioni, delle fatture e dei bonifici affiancate"
"copertina","ordinanza-demolizione-cosa-fare","Privati","Ordinanza di demolizione: cosa fare nei primi trenta giorni","ordinanza-demolizione-cosa-fare-cover.jpg","public/images/guide/ordinanza-demolizione-cosa-fare-cover.jpg","1600x900 (16:9)","Ordinanza comunale di demolizione con la relata di notifica in evidenza, accanto a un calendario"
"interna","ordinanza-demolizione-cosa-fare","Privati","Ordinanza di demolizione: cosa fare nei primi trenta giorni","ordinanza-demolizione-cosa-fare-1.jpg","public/images/guide/ordinanza-demolizione-cosa-fare-1.jpg","1600x900 (16:9)","Ordinanza comunale di demolizione con la relata di notifica in evidenza, accanto a un calendario"
"interna","ordinanza-demolizione-cosa-fare","Privati","Ordinanza di demolizione: cosa fare nei primi trenta giorni","ordinanza-demolizione-cosa-fare-2.jpg","public/images/guide/ordinanza-demolizione-cosa-fare-2.jpg","1600x900 (16:9)","Tecnico che misura una veranda chiusa confrontando il rilievo con i grafici allegati al permesso di costruire"
"copertina","iscrizione-riserve-appalto","Imprese","Iscrizione delle riserve: come non perdere il diritto ai maggiori compensi","iscrizione-riserve-appalto-cover.jpg","public/images/guide/iscrizione-riserve-appalto-cover.jpg","1600x900 (16:9)","Registro di contabilità di cantiere aperto con la firma dell'impresa e l'annotazione manoscritta con riserva"
"interna","iscrizione-riserve-appalto","Imprese","Iscrizione delle riserve: come non perdere il diritto ai maggiori compensi","iscrizione-riserve-appalto-1.jpg","public/images/guide/iscrizione-riserve-appalto-1.jpg","1600x900 (16:9)","Registro di contabilità di cantiere aperto con la firma dell'impresa e l'annotazione manoscritta con riserva"
"interna","iscrizione-riserve-appalto","Imprese","Iscrizione delle riserve: come non perdere il diritto ai maggiori compensi","iscrizione-riserve-appalto-2.jpg","public/images/guide/iscrizione-riserve-appalto-2.jpg","1600x900 (16:9)","Tavolo di cantiere con il conto finale, la memoria di quantificazione delle riserve e una calcolatrice"
"copertina","contratto-subappalto-clausole","Imprese","Contratto di subappalto: le clausole che salvano l'artigiano","contratto-subappalto-clausole-cover.jpg","public/images/guide/contratto-subappalto-clausole-cover.jpg","1600x900 (16:9)","Artigiano con il contratto di subappalto in mano davanti a un cantiere con ponteggi montati"
"interna","contratto-subappalto-clausole","Imprese","Contratto di subappalto: le clausole che salvano l'artigiano","contratto-subappalto-clausole-1.jpg","public/images/guide/contratto-subappalto-clausole-1.jpg","1600x900 (16:9)","Artigiano con il contratto di subappalto in mano davanti a un cantiere con ponteggi montati"
"interna","contratto-subappalto-clausole","Imprese","Contratto di subappalto: le clausole che salvano l'artigiano","contratto-subappalto-clausole-2.jpg","public/images/guide/contratto-subappalto-clausole-2.jpg","1600x900 (16:9)","Pagina di contratto di subappalto con la clausola sui termini di pagamento evidenziata a pennarello"
"copertina","congruita-manodopera-durc","Imprese","Congruità della manodopera: come si giustifica un'incongruenza","congruita-manodopera-durc-cover.jpg","public/images/guide/congruita-manodopera-durc-cover.jpg","1600x900 (16:9)","Cantiere edile con squadra di operai al lavoro e cartello di cantiere in primo piano"
"interna","congruita-manodopera-durc","Imprese","Congruità della manodopera: come si giustifica un'incongruenza","congruita-manodopera-durc-1.jpg","public/images/guide/congruita-manodopera-durc-1.jpg","1600x900 (16:9)","Cantiere edile con squadra di operai al lavoro e cartello di cantiere in primo piano"
